"city","description","neighbourhood_cleansed"
"NYC","Discover the best of New York, with this one bedroom apartment in Theater District with balcony views over the city. It’ll be easy to simply show up and start living in this  furnished apartment with its fully equipped kitchen,  living room, and our dedicated, on-the-ground support. (ID #NYC1624)","Theater District"
"NYC","Show up and start living from day one in New York with this charming one bedroom Blueground apartment. You’ll love coming home to this thoughtfully furnished, beautifully designed, and fully equipped Financial District home with stunning high floor views over the city. (ID #NYC1358)","Financial District"
"NYC","LESS THAN 30 DAYS POSSIBLE ! Read Full description details to discuss !<br /><br />PLEASE MESSAGE before booking, in case i can offer a discount!<br /><br />PRIVATE ROOM. SHARED Kitchen and bathroom with one other roommate in Tech<br /><br />ELEVATOR and 24hr DOORMAN building, near Central Park, Whole foods. 1,2 3, A, B. C Subways. Very convenient location. Includes work area, Smart TV, Netflix. In building laundry. Will consider less than 1 month booking - pls contact and read whole description ! Thanks!","Midtown"
"NYC","Sun-filled, airy two bedroom less than a block from Herbert von King Park in one of the most vibrant neighborhoods in NYC.","Bedford-Stuyvesant"
"NYC","3BR + 3BA apt across the street from McCarren park in Williamsburg/Greenpoint<br />* Private Balcony<br />* Master bedroom (king size bed), nursery (crib+queen size bed), and guest room (sofabed)<br />* Large kitchen<br />* Children playroom in building<br />* Communal garden","Greenpoint"
"NYC","Cozy 2 BDR  Brownstone apartment on tree line block. Near the Brooklyn Museum ( 20 min), BAM (20 min), Fulton Square Mall( 20min) and The Barclays Center(20 minutes) and 40 minutes from MSG by car.  5-10 minute walk to A, C, J, & M train; 30 minutes from Manhattan. Near a plethora of restaurants within walking distance.","Bedford-Stuyvesant"
"NYC","Relax with the whole family at this SHARED peaceful place to stay.<br /><br />It is SHARED.<br /><br />It is SHARED and you*ll not be alone. You will see me in the shared spaces as shown in the photos.<br /><br />You get the sleeping room with two queen sized beds for a max of two people.<br /><br />Your stay is hosted within the unit. There are common areas that will be shared. Resident and Owner  lives here 24/7. <br /><br />You will see us in the kitchen area and living room. <br /><br />Use the backyard or front yard to bbq, swing or chill.","East New York"
"NYC","Bask in the sunlight soaked living room, filled with plants, books, art and plenty of vinyl to keep your ears content. We’re located in the vibrant & historic neighborhood of Bedstuy, which is littered with cool cafes, shops, restaurants and bars with parks and museums nearby. We’re a short commute to Manhattan, Williamsburg.  We also have a small dog, who’s chill, we’ll trained and will melt you heart.  Don’t hesitate to let’s us know we can make your trip more comfortable.","Bedford-Stuyvesant"
"NYC","Located on Hell’s Kitchen: This elevator building has an on-site management and furnished roof deck. The building located in one of the most convenient neighborhoods in all of Manhattan. Midtown West/Hell’s Kitchen is a quiet residential neighborhood but is close to everything Manhattan has to offer. Time’s Square, Columbus Circle, Central Park and the Theater District are all within a short walk.You'll have a great time at this comfortable place to stay.","Hell's Kitchen"
"NYC","Forget your worries in this spacious and serene space.  Queen size bed &  full size sofa bed with kitchen with hot plate pots & pans to cook. Also enjoy the backyard for you & your guest only.  You are allowed to smoke in the backyard. <br />No smoking inside apartment, $200 fine.","Bedford-Stuyvesant"
"NYC","Built in 1930, our charming but expansive 6,248-square-foot home has undergone renovations and is completely modernized, while still being recognizable from the exterior for its appearance in “The Godfather” 1972 film. <br /><br />We’re hosting up to five guests at our family home for a long-term stay this summer. Booking opens at 1 p.m. ET on Wednesday, July 27 for a 30-night stay occurring August 1-31.","Todt Hill"
"NYC","Take it easy at this unique and tranquil getaway. One queen bed and shared bath! <br /><br />Wifi included.<br /><br />Please note that the host will be present in the Unit during the guests stay.","South Ozone Park"
"NYC","This comfortable private bedroom in a 3BR apartment is clean and cozy. It is located just a block from the Hudson River and two blocks from the subway.","Harlem"
"NYC","Crown heights Brooklyn, two blocks from 3 and 4 trains. Close to super markets, laundry and restaurants.","Crown Heights"
"NYC","Contemporary designer home filled with plants, artwork, and natural light – only 1 block from the train. The home has 2 levels, 2 bedrooms, high ceilings, private yard, and yoga + gym space. Each bedroom is on a separate level with no shared walls, so there’s plenty of privacy. The neighborhood is calmer than North Bushwick, which means quieter days and nights.<br /><br />For 21+ days, msg me directly.<br />Ich kann auch Deutsch.<br />Je parle français aussi.","Bushwick"
"NYC","Beautiful, pristine, 1 bedroom apartment. Hardwood floors and spacious rooms! Unfurnished but will leave couch for you to sleep on.Available for one week. We will provide essentials. Located near Columbus Circle and access to all major subway lines!","Hell's Kitchen"
"NYC","Experience Brooklyn at its best in your own private and well-appointed sanctuary located on the border of Ft. Greene and Clinton Hill, two of the borough's most lively and sublime historic neighborhoods.","Clinton Hill"
"NYC","The apartment is located in the heart of Clinton-Hill  Brooklyn with easy access to all the best neighborhoods and attractions here, and Manhattan is just a short ride away!<br /><br /><br />  no smoker no pets The apt is located one Block from Pratt institute and ST  Joseph College. Row of restaurants on Dekalb avenue and Myrtle avenue access Clinton and -Washington G,C,A  train line and N, R Q, B  2,3, 4,  5 . 10 minutes to Manhattan. Very accessible safe quiet neighborhood","Clinton Hill"
"NYC","This Williamsburg condo is steps away from award-winning restaurants, hip nightlife, and quick transport (8 min train to Manhattan). Tons of light. Master bedroom features a queen bed, large closet, and walk-out balcony. Stylish sliding panels enclose the second bedroom. Modern bathroom (double vanity and glass shower enclosure). Includes washer/dryer, surround sound, HD projector, central AC and heating, ultrafast WiFi, and a pull out sofa. We truly love living here and we're sure you will too!","Williamsburg"
"NYC","Hotel requires a $125 per night deposit for incidentals that you may incur during your stay. This is established as credit should you want to charge to your room from the restaurant, bar or lounge.<br />All guests must be 21 years or older and have a valid credit card and photo I.D such as a drivers license or passport","Tribeca"
"NYC","Cozy furnished one-bedroom apartment in a convenient location! Enjoy easy access to buses, trains, and JFK Airport, making commuting a breeze. This fully furnished apartment features:<br />- 1 spacious bedroom with comfortable bed and ample storage<br />- 1 modern bathroom with all essentials<br />- Comfortable dining area<br />- Utilities included (electricity, water<br />- Secure building with intercom system<br />- Close proximity to public transportation (buses and trains) and JFK<br />Free Wifi Connection<br />Netflix","Rosedale"
"NYC",">> PLEASE MESSAGE ME BEFORE BOOKING TO CONFIRM DATES ARE AVAILABLE.. I RESPOND IMMEDIATELY.. THANK YOU << I have over 100 reviews from guests from all over the world who have enjoyed their vacations in large part because of me and my help.. This is something I am incredibly proud of :)","Murray Hill"
"NYC","Steps from Columbia Hospital, subways, parks, and peace.<br /><br />Enjoy the comforts of a spacious and newly renovated 2-bedroom apartment located in one of Manhattan’s most culturally rich and historic neighborhoods. Set on the ground floor (lobby level) of a well-maintained elevator building, this unit is a peaceful retreat while still placing you steps from all the vibrancy of Washington Heights.","Washington Heights"
"NYC","This guest suite includes a bedroom, full bathroom, living room, kitchen, and backyard located in the heart of Bushwick with short walk access to J, M, Z, & L trains. Close to galleries, cafe, and supermarkets. Convenient 20 minute travel to Manhattan by subway. This is a legally registered NYC short term rental (Registration number: OSE-STRREG-0000981)","Bushwick"
"NYC","An Amazing Oasis in NYC","Laurelton"
"NYC","Building amenities: laundry, gym, rooftop, lounge.<br />Furniture included: bed, mattress, dresser, lamp, curtains, closet. Living room: sofa, coffee table, HD TV, kitchen table.<br />1 minute walk to J, Z, M trains (21 minutes to Manhattan)<br />Centrally located, minutes to restaurants, cafes, salons, gyms, laundry<br />Location: Madison St and Bushwick Ave in Brooklyn<br />UPDATE: the window has been blocked off, thus why the lower price<br />Preparation fee: $175 (One-time: inspection, cleaning and admin cost)","Bedford-Stuyvesant"
"NYC","Peaceful room in the heart of Bushwick. close to J M and L trains ( Gates Avenue station and Myrtle-Wyckoff Station). on the second floor. You'll have a private room and share the kitchen and the bathroom with two lovely roommates and Penny the cat.","Bushwick"
"NYC","Outstanding private bedroom with attached PRIVATE bathroom in a fully renovated 4-bedroom duplex. <br />Fully furnished and equipped, with two spacious living areas that feel light, open, and refreshing.<br />In-unit washer/dryer included. <br />Your room features a king-size bed, 55” Smart TV, blackout shades, desk, linens, towels, mirror, and private bathroom. <br />Located in pleasant Cypress Hills, Brooklyn, just a 10-minute walk to the J train.<br /><br />⭐ Ideal for Long-Term Guests","Cypress Hills"
"NYC","Keep it simple at this peaceful and centrally-located single occupancy room. Most suitable for young professionals working from home or moving to NYC.<br /><br />Bedroom has a futon/sofa bed, wardrobe, closet, and workstation.<br /><br />2BR 1.5 bathroom shared with one other guest.","Bedford-Stuyvesant"
"NYC","Tucked in Downtown Manhattan’s charming South Street Seaport, 33 Hotel New York City places you steps from cobblestone streets, designer boutiques, and top attractions. Savor Modern American flavors at Urban Cove, our on-site restaurant and cocktail bar. Take in views of the Brooklyn Bridge, unwind in elegant rooms, and enjoy free Wi-Fi and a 24/7 fitness center—just 15 minutes from JFK and close to it all.","Financial District"
"NYC","Gorgeous Upper West Side getaway! Welcome to the Parc West Village located in one of the best spots of the Upper West Side. Stay in this lovely 2 bedrooms unit that comfortably sleeps 4. Features wireless internet, cable TV, standard kitchen appliances, and hardwood floors provide all the comforts of home.<br /><br />You'll have a great time at this comfortable place to stay.","Upper West Side"
"NYC","- Furnished bedroom PRIVATE BATHROOM, 145 sq ft in the best part of Astoria, right on 35th Ave and 28nd Street. Room has a HDTV, dresser, desk, chair, Wifi and a large closet. 3 bedroom apartment with 2 bathrooms- We are looking for someone who is clean, responsible with good energy.<br />- Restaurants, cafes, bars, salons are within 2 blocks away, you are in the center of one of the top neighborhoods in Queens!<br />- Preparation fee: $175 (One-time: inspection, cleaning and admin cost)","Long Island City"
"NYC","You will have your own room with tv and plenty of closet space. Full size bed (1 -2 people). You have your own bathroom. Super clean and friendly host. Subway station and bus service at the corner.Lots of restaurants and bars<br />Hope to see you soon","Harlem"
"NYC","Bright and sunny 1 bedroom apartment in Bed Stuy on a quiet tree lined block. 4th Floor of a walk-up. Bay windows let in sunlight all day long. Air Conditioning for the summer. Heat for the winter.","Bedford-Stuyvesant"
"NYC","The apartment is located in Woodside, Queens.<br />It is accessible enough to Metro and takes 7 minutes on foot to the 69st. station of MTA’s line 7, and 10 minutes to Roosevelt Ave – Jackson Heights station for 7, E, F, M and R train.<br />There are Asian supermarkets, grocery stores, banks, Seven Eleven convenience store, restaurants and bars near subway station. It takes 30 minutes approximately for Manhattan.<br />store are a few minutes from the apartment.","Woodside"
"NYC","This stylish place to stay is perfect for one or two people maximum. It has the perfect desk for remote working.","Ridgewood"
"NYC","Freshly painted renovated apartment that includes all new furniture in this bright 1 bedroom  with full size bed and full size futon in Midtown East! A few blocks from the famous Tiffany’s, The Plaza Hotel and Central Park, on 57th Street!","Midtown"
"NYC","New Construction Luxury Condo Building located in the heart of the desirable Lower East Side. This 1000 sf + full floor Apartment with private elevator entrance offers the very best in privacy & luxury with over 1,200 sf of furnished OUTDOOR roof top & 2 balconies with extraordinary views. Interior furnishings are ultra-luxury Roche Bobois. Surrounded by some of the best shopping and dining in the most dynamic neighborhood in the NYC. Steps from convenient transport and Chinatown & Little Italy.","Lower East Side"
"NYC","We have a room available in our 3-bedroom apartment that spans the whole 3rd floor and private rooftop of our building. We're all in our mid-20's, enjoy music, and chillin.<br /><br />The room: is detached from the main apartment down a hallway // closest to private rooftop exit //","Bushwick"
"NYC","The space comprises 1/2 of our house's second floor and has natural light filtering in from windows on two sides. The space has a vista from the livingroom windows down the block.","Fort Greene"
"NYC","Room in a newly renovated apartment in South Brooklyn on Fourth Ave, centrally located in a walkable neighborhood near local favorite restaurants and bars. Sleek furnishings and full utilities (including WiFi and streaming services) included in your monthly fixed rent. <br /><br />Don’t worry about the pesky parts of living in the city— enjoy in-unit laundry, air conditioner, stainless steel appliances, a weekly cleaning service, keyless entry, and even complimentary streaming services.","Gowanus"
"NYC","Located in the most up and coming part of Brooklyn in Williamsburg, right next to the old Domino Sugar factory. Lots of space, very agreeable to chill in the living room and/or cook some food. 2 big couches in living room too ;)","Williamsburg"
"NYC","You are looking at a nice and bright bedroom located in the Wakefield section of the Bronx.  Modern design with lots of lighting.  Great for individual who wants to spend a night in a quiet decent home.","Edenwald"
"NYC","Fully equipped studio apartment with gym, yoga studio and in house laundry in the building. Newly set up modern equipments and furniture(URL HIDDEN) Train station - access to N,Q, R,W,B,D,F,M and PATH at the doorstep : 7 mins walk to Times Square(URL HIDDEN)New queen size bed - 24 hour Heating- couch - Bar and Dinner table for two. Apple TV and 42"" screen(URL HIDDEN)<br />Access to full kitchen with stove top, oven , refrigerator and cooking utensils.","Theater District"
"NYC","Sleep in Style<br /><br />This thoughtfully designed lower-level space features two cozy bedrooms with plush beds and crisp linens, comfortably accommodating up to four guests. Modern finishes and a soothing color palette create a peaceful escape from the city's buzz. Have fun with the whole family at this stylish place.","Springfield Gardens"
"NYC","A large 1BR, 1 bath with couch and air mattress is perfect for this attending the Super Bowl that wants to enjoy NYC and have easy transport to the big game.  Steps to the Path Stop in the West Village.  Minutes from the 1 train.","West Village"
"NYC","This comfortable room is prepared in August 2021.<br /> <br />Your room is on 2nd floor.<br />This is 4 bedroom 2 bathroom apartment.<br />You basically share 1 bathroom with 2 other rooms.<br />(One bathroom is for master bedroom)<br /><br />You can use kitchen. There are dishes, silver, microwave, cooking items etc. You can enjoy cooking and save money in your trip!","Rego Park"
"NYC","Bright and spacious chic artist studio located in the heart of NYC.  Just steps from the Columbus Circle entrance to Central Park.  Walking distance to Time Square, Lincoln Center, Theater Dist., 5th ave, museums and lots of great restaurants & bars.","Midtown"
"NYC","Stay safe, stay Jurny! No human interaction is needed during your stay. Our units are fully automated &amp; guests are in control.","Midtown"
"NYC","Step into The Lexy VI, a stylish studio on the first floor in Midtown East, New York. Elevator access and modern design make this space perfect for two guests. A fully equipped kitchen with a stove, oven, and microwave caters to your needs. Wi-Fi, air conditioning, and a TV provide a relaxing environment, while family-friendly amenities ensure comfort for all ages.","Kips Bay"
"NYC","Quiet, Cozy (but not cramped) studio on the Williamsburg/Greenpoint border.  Very close to public transportation (10 minutes to Manhattan), great dining, coffee shops, and shopping.","Williamsburg"
"NYC","Gorgeous Upper West Side getaway! Welcome to the Parc West Village located in one of the best spots of the Upper West Side. Stay in this lovely 3 bedrooms unit that comfortably sleeps 6. Features wireless internet, cable TV, standard kitchen appliances, and hardwood floors provide all the comforts of home. Located on the fourteenth floor of a traditional NYC Mid-rise Post-War Elevator building.","Upper West Side"
"NYC","Welcome to a spacious, sunlit guest space just 8 mins from UBS Arena & Belmont Park, 15 mins from JFK/Resorts World, and 20 mins from LGA. Unwind with fast Wi-Fi, cable TV, Netflix, A/C, and a cozy tea/coffee station. Designed for comfort and quiet, with stylish touches throughout. Easy access to express buses, subway, and LIRR for effortless NYC exploring.","Cambria Heights"
"NYC","Beautiful room in a three bedroom apartment. Available for 30days or more.","St. George"
"NYC","- Bright bedroom with high ceiling in Bedstuy, right on Gates Ave and Marcy Ave (2 blocks from Bedford Ave). Room has a HD TV, dresser, desk, chair, Wifi and a large closet.<br />- Apartment comes with 2 bathrooms.<br />- We are looking for someone who is clean, responsible with good energy.<br />- Restaurants, cafes, bars, salons are 5 minute walk.<br />- Preparation fee: $175 (One-time: inspection, cleaning and admin cost)","Bedford-Stuyvesant"
"NYC","You'll have a great time at this comfortable place to stay.","Upper East Side"
"NYC","Live in one of Manhattan's most up-and-coming neighborhoods. Constructed in 1940, the building has been meticulously renovated while retaining the charm of old New York.<br /><br />Be close to all the sights, universities, and hospitals. (Please see the photos for specific institutions.)<br /><br />Enjoy this fully furnished home equipped with high-speed internet. Other amenities include a planted backyard and gym.<br /><br />Put yourself in the center of Manhattan's most vibrant neighborhood.","Harlem"
"NYC","Nice private Bedroom in a newly renovated 3-bedroom unit.<br />As showed by pictures, we have a full size bed with a nightstand and a reading desk for your need. Also a large closet for your clothes. The living room, bathroom and kitchen are shared, but its spacious.<br />Our location is also convenient. 4 mins walk from D line Fort Hamilton Pkwy. 5 mins walk to Maimonides Medical Center which is great for medical school students. Bulk of stores on Fort Hamilton Pkwy & 8Ave","Borough Park"
"NYC","Your room is on 1st floor.<br />This is 2 bedroom 2 bathroom apartment.<br />You have your own bathroom.<br /><br />Kitchen is located on 1st FL but share with the other rooms.<br />There is a big refrigerator so you have plenty space to stock your food and drink.<br /><br />This is 3 min from Subway station.<br />Great location and easy commute.","Elmhurst"
"NYC","1 bedroom apartment located in the very center of New York city.<br />Walking distance(can see it from my street) to Empire State building, Time Sqaures. I am currently living here myself and renting it out while traveling. You will have the entire apartment to you and your family.","Kips Bay"
"NYC","Luxury ground-floor / rear-facing condo located within the heart of North Williamsburg, 1-2 blocks from Apple, Equinox, Trader Joe's, Whole Foods, Shake Shack + vibrant, local coffee shops. The neighborhood was one of the first to undergo rapid development in Williamsburg. Walking distance to Hudson River, Domino and McCarren Park (tennis, softball, varsity track and turf, outdoor workout equipment). 4 blocks from the Bedford Ave (L) station, which crosses every major subway line in Manhattan.","Williamsburg"
"NYC","Welcome to our home!<br /><br />This sunny gem of an apartment is located just off the 1 train and a five minute walk to the A/B/C/D express stop. Beautiful historic neighborhood and 30 minutes to Times square!<br /><br />My roommate and I both travel a lot for work so we are well versed in both hosting and guest-ing the airbnb experience. Our home includes full use of the kitchen and living room, TV with chromecast capability, wifi and laundry in the building.","Harlem"
"NYC","Amazing apt in Manhattan, close to subways and tourist destinations! The apt is nicely decorated, on the ground floor, internet, smart tv, fully equipped kitchen.","Lower East Side"
"NYC","Really convenient location in a hip, safe part of Brooklyn.  Nice pre-war apartment, recently restored.  Lots of space.  Lots of charm. Easy to Manhattan, Queens, and rest of Brooklyn.","Bedford-Stuyvesant"
"NYC","Discover Studio 623. An amazing unit that accommodates up to 8 guests with the privacy of your own personal space complete with private bathroom, kitchenette, featuring a sink, small refrigerator, microwave, TV and climate comfort with a radiator for warmth in winter and AC for summertime. This accommodation is located within walking distance to Madison Square Garden, Empire State Building and Manhattan Mall. A card authorization of $175 will be required for the security deposit upon arrival.","Midtown"
"NYC","Experience the tranquil and chic ambiance of this newly renovated studio apartment in South Slope, south of Park Slope. A queen size bed & sofa bed, accommodating up to four (4) guests. The unit is fully equipped with modern conveniences such as a smart TV, split A/C system, washer/dryer, and a stylish kitchen. The charming design of the apartment features exposed brick walls, high ceilings, and a neighborhood that perfectly complements the space, evoking the essence of old Brooklyn.","Gowanus"
"NYC","Very Private Studio Apartment<br />VERY PRIVATE ENTRANCE <br />BLAZING FAST INTERNET<br />FULL KITCHEN<br />Beautiful Queen Bed <br />Excellent comfortable pullout sofa <br />Very well MAINTAINED & CLEAN<br />The apartment has a beautiful desk to work on <br />Excellent for Couples/Roommates<br />The apartment features a 65 inch curved TV with a brand new amazing surround sound system with AMAZON CUBE<br /><br />Located 15-25 mins from JFK Airport and 30 -40 minutes to downtown Brooklyn and Manhattan","Canarsie"
"NYC","Private 2nd floor unit of a 2 family house. <br /><br />Our goal is to provide a space that feels like home. You'll have all the amenities you need for a comfortable getaway. <br /><br />Newly renovated home features 1 queen, 2 double, 1 sofa bed and 1 futon, with 3 bedrooms. This home also has a big inviting living space with lots of windows and natural light.<br /><br /> Well-stocked kitchen for most cooking needs.","Glendale"
"NYC","We are located near great Harlem tourist spots.  Feel free to smoke on deck and in garden.  Bus at corner to Central Park, Museum Mile, 5th Ave. shopping.  7 minute walk to express train. 2 express stops to 42nd  Times Square. We will be here to help","Harlem"
"NYC","This is a lovely beautiful room It's spacious and gorgeous with all amenities . Wifi, cable, flat tv, designer bed with closet.","Harlem"
"NYC","Stay in historic Bedford-Stuyvesant in a charming pre-war brownstone, but with all the modern conveniences.<br /><br />A comfortable, quiet room with a Queen bed and your own gorgeous, private bathroom await you.<br /><br />Only steps away from the subway for a 15-min ride into Manhattan (Fulton stop).","Bedford-Stuyvesant"
"NYC","Welcome!<br /><br />The large bedroom/library suite is my retreat from the exciting, artistic world of Bushwick.<br /><br />Your space would have a private entrance. Down the hall is a shared bedroom and kitchen with my roommate, a physicist/musician and friendly guide.<br /><br />Includes:<br />- plush queen bed<br />- kitchen with lots of toold<br />- workdesk<br />- beautiful backyard with charcoal bbq<br />- stone (decorative) fireplace<br />- nice neighbors<br />- air conditioning<br /><br />3 blocks to L or J subways, 20 min. to Manhattan, Williamsburg","Bushwick"
"NYC","Enjoy easy access to everything from this perfectly located home base.  This cozy apartment is in the lovely neighborhood of The Upper Westside.  You are a block from Central Park, 2 blocks from Riverside Park, great subways on the corner, excellent restaurants, a 10 min walk to Lincoln Center.  Get the authentic vibe of being a New Yorker!  On the 5th fl of a walk up, sharing the building with a Live Theater on the 2nd and 3rd floors and 3 other apartments in the building.","Upper West Side"
"NYC","My apt is located in the lovely, quiet neighborhood of Park Slope South, Brooklyn. It's two blocks from the R train, and 40min ride into midtown Manhattan. <br /><br />I'm two blocks away from historic Greenwood Cemetery, and a 5min walk from the heart of Park Slope, where you'll find some of the best restaurants and bars in New York City. <br /><br />I have one quiet and respectful roommate, who values privacy.","Sunset Park"
"NYC","A room in a newly renovated spacious 3 bedroom townhouse apartment on a residential street in the Mott Haven neighborhood. Convenient transportation, within a 10 min walk to the 2 and 5 express lines at the and the 6 local line at the station. Bus lines also available. 20-30 minutes to midtown Manhattan and Central Park. Walking distance to local bars, restaurants, parks and Citi Bikes rentals. There are 2 full bathrooms and a large living room that serves as a common space.","Mott Haven"
"NYC","This private studio with high ceilings is situated in great location close to everything. It comes with a PRIVATE BACKYARD which is rare in NYC. <br /><br />Central Park and the Metropolitan Museum are just 4 blocks away. The Guggenheim is also around the corner. The Q and 4/5/6 trains are within 5 minutes walking; it takes 20 minutes by train to Times Square (Q) and 15 minutes to Grand Central (4/5/6).<br /><br />Many popular bars and restaurants are within walking distance!","Upper East Side"
"NYC","This simple room is located in downtown Elmhurst. It’s near a variety of restaurants and a supermarket. The room has a bunk bed that can fit at least 3 people. There are drawers to put your belongings in, and hangers to hang your coats and sweaters. Visitors are allowed to use the kitchen to cook meals. The bathroom will be shared.","Elmhurst"
"NYC","- Big bright bedroom in Fort Greene, right on Vanderbilt Ave and Dekalb Ave.<br />- 6 bedroom, 3 bathroom apartment.<br />- This apt has a large backyard, washer/dryer in unit.<br />- Room has window, an HD TV, AC, dresser, desk, chair, Wifi and a large closet.<br />- Building has rooftop access.<br />- Restaurants, cafes, bars, salons are 1 - 3 minute walk, you are in the center of a popping neighborhood. 15 min walk to downtown Brooklyn.<br />- Preparation fee: $175 (One-time: inspection, cleaning and admin cost)","Fort Greene"
"NYC","Spacious studio conveniently located off the 1, A, B, C, and D subway lines in quiet, family-friendly West Harlem. Apartment features a double bed and a couch that pulls out into a double bed. Enough space for 4 people! Apartment is on the first floor, so no need to worry about going up and down steps in a walk-up! Excellent restaurants and plenty of grocery stores in the area. Close to the gorgeous City College campus. Convenient to all Manhattan destinations and Brooklyn and Queens as well!","Harlem"
"NYC","Room #6<br />This is a private studio suite within a 9 room boutique hotel. You have a private bathroom inside the suite.<br />• 1 Full Bed.<br />• 1 Twin Trundle Available Upon Request.","Breezy Point"
"NYC","Before booking instantly, please message me to confirm the apartment’s availability. Sometimes the calendar isn’t fully updated, and I want to make sure everything goes smoothly for you. Thanks!<br /><br />Centrally located , stylish and fully furnished studio apartment with all necessary amenities.","Upper East Side"
"NYC","Charming ground level -basement studio apartment in a privately owned home. Private entrance with outdoor seating area. Tastefully decorated with period pieces and antiques, original artwork, and folk art from travels abroad. Air conditioning unit, fan, convection oven/microwave combo, countertop electric range,  under-the-counter fridge, French press and hot water heater. There is a large closet for storage. Two blocks from subway. Well-trained dogs allowed. 31 day minimum stay.","Ditmars Steinway"
"NYC","This is a charming and peaceful room in a garden apartment located in the lovely Prospect Heights. <br /><br />This is a hosted rental.<br /><br />Less than 10 min walk to the subway; 25 minutes to lower Manhattan; a short stroll to trendy bars, restaurants, jazz clubs and cute Brooklyn shops; 10 minutes to Prospect Park and the Brooklyn Botanic Garden, Prospect Park Zoo, and the Brooklyn Museum of Art.","Prospect Heights"
"NYC","Charming Flatiron studio. In a heart of NYC. 5 minutes walk to most subway lines. Near Chelsea, Union Square, and 3 parks.","Kips Bay"
"NYC","Plenty of quiet space for the whole family in this newly renovated modern detached home.  Situated in the trendy Gled-Ridge area of Queens right next to happening Bushwick, Brooklyn.  Enjoy some peace of mind and quiet downtime on your visit to NYC.  This comfortable 2 bedroom includes a private office as well as laundry and your own massive backyard. Perfect for grilling and hanging out after a long day of sightseeing or work.","Glendale"
"NYC","This sparkling modern classic is the top apartment of only 3 other owner-occupied condos. Wake to tranquility, trees and sky,  have your morning coffee on the back deck, or soak in the morning sun flooding the living room windows.<br /><br />Located in Stuyvesant Heights Historic District, the building was designed to blend in with the gems around it, but - surprise! - it’s actually brand new: high quality build, minimalist finishes, smart layout, high-end appliances. Literally the best of both worlds","Bedford-Stuyvesant"
"NYC","What’s 15 minutes from Union Square, insanely quiet, and made for a classy couple who enjoys the occasional company of a lazy, sweet cat?<br /><br />*Please be advised of subway changes in Brooklyn. For more information on your dates please visit the “planned service changes; subway” tabs at mta.info.","Williamsburg"
"NYC","Welcome to Clinton Hill! This is a modern, spacious two-story duplex (1,000 sq ft) with a large backyard in a historic, vibrant neighborhood in the heart of Brooklyn. Short walk to great bars, restaurants, and Fort Greene park.<br /><br />Convenient access to Williamsburg, Barclays Center, Downtown Brooklyn, Brooklyn Academy of Music, Prospect Park and many more attractions. 30 min subway ride to Downtown Manhattan.","Clinton Hill"
"NYC","PRIVATE ROOM. <br />This shared apartment is located in Bushwick, bordering Ridgewood. Close to L and M trains.<br /><br />Laundry in the building, gym, lounge/workspace area, and rooftop with spectacular views of the Manhattan skyline!<br /><br />The apt has in total 6 bed and 2 bath. Fully furnished and equipped with household and appliances. Cleaning 3-4 times a month!","Ridgewood"
"NYC","Unique opportunity to live in the heart of New York City! Location is everything and this historic property is 1 block away from the most iconic location in all of New York : Times Square!","Hell's Kitchen"
"NYC","Chic, neat and cozy small 1-bedroom apartment in a 3-story quiet and safe pre-war building in the heart of Astoria. Very convenient and safe location, lively area but quiet residential street.","Astoria"
"NYC","Hillcrest is a very quiet neighborhood bordering St. John’s University, Gate Six. It is in one of the safest precincts in New York City.<br /><br />The Cream Private Room is large airy and set for one guest. The room boasts a queen-size bed, bedside lamps with USB Ports, a 43"" Smart TV, a mini-fridge, AC, two closets, a workspace, and a swivel office seat.","Jamaica Estates"
"NYC","This is a front bedroom of a second floor apartment on a fairly quiet (especially for NYC!) tree-lined street, with a shared bathroom (shared with one person) and backyard access in a house from 1899 that has been completely renovated. This house is a less than 5 minute walk to the subway. Laundry is in the basement. This apartment is 3 bedrooms and 2 bathrooms, you will share the bathroom though with only one other person.","Hunts Point"
"NYC","Very modern and recently renovated this beautiful two bedroom apartment is in the heart of Bushwick just minutes away from the J and M trains. And just a quick 15-20 minute ride into the city. It's very comfortable and quiet. The neighborhood is very nice and has bodegas on either side of the block. There are great bars, restaurants and cool things to do in the surrounding area. Very close to Williamsburg and all the cool buroughs in Brooklyn. I hope you will love it and enjoy your stay!","Bushwick"
"NYC","Soak up breathtaking views of the surrounding New York City architecture from this oversize suite with traditional furnishings.<br /><br />Availability Subject to Change, Confirmation of Selected Date (s) Must be Confirmed.","Midtown"
"NYC","Welcome to your Manhattan retreat in East Village! This brand-new, fully renovated 3-bedroom, 2-bathroom apartment epitomizes modern elegance and comfort.<br /><br />Key Features:<br />Freshly renovated: stylish finishes<br />Gourmet kitchen: high-end appliances<br />Spa-like bathrooms<br />Restful bedrooms<br />Prime location<br />Stylish, open-concept living area<br /><br />Why You'll Love It:<br />Perfect for everyone. Convenient amenities including high-speed Wi-Fi, and smart TV. Safe neighborhood. Book now for an unforgettable NYC visit!","East Village"
"NYC","A cozy, luxurious, and spacious 3 bedroom apartment in a family friendly neighborhood just a 5 minute drive from JFK airport, and 10 minutes from La Guardia Airport.","South Ozone Park"
"NYC","A Sugar Hill adjacent spot featuring a large kitchen, dishwasher, hardwood floors with a, sunny living room.  One block from both the C and 1 trains and across the street from the historic Trinity Cemetery and Cathedral.  Shops and cafes nearby.","Washington Heights"
