"city","description","neighbourhood_cleansed"
"NYC","Our apartment is right off Nostrand Ave, it is very quiet as it opens to the backyard. We are close to everything you might need: supermarkets, coffee houses, laundry, restaurants and bars are all minutes away. Prospect Park, the Brooklyn museum are about 15 min away, and you'll reach the city by train in about 20 min.<br />We have a fully stocked kitchen, great living room with pullout couch, TV, a lot of books (has its own door and can be used as second bedroom), a bedroom and a bathroom.","Crown Heights"
"NYC","You'll have a great time at this comfortable place to stay.  Newly renovated for you enjoyment. Located 3 blocks away from the 3/4 train an buses. Lovely neighborhood park for a relaxing morning/evening jog. Many stores, laundry nearby.  A quick train ride has you in Manhattan in 25-35 minutes. Convenience with out the Manhattan price tag.  Come immerse yourself in Caribbean Culture and Food. 2 express stops away is the Brooklyn Museum/Botanical Garden/Prospect Park.","Crown Heights"
"NYC","This is a beautiful apartment that is equipped with everything that you need to enjoy your stay! Great location in Midtown West situated right on famed Restaurant Row! Walking distance to Times Square! Right next to stores, restaurants and more! Accessible near bus and train.","Hell's Kitchen"
"NYC","A very bright and cheerful apartment with a sunny southern exposure over gardens and a northern view of the elegant tree lined street. It is a typical Upper East Side walk up brownstone and the apartment is on the 4th floor.<br />The tv is an Apple TV, no cable, with a very ample movie Library should you decide to spend a night at home. <br />Central Park is 3 avenues away and transportation is almost at your door steps. Supermarket open all day/night is less than 200’ away.","Upper East Side"
"NYC","the apartment is in Manhattan uptown, very good location and cheap price, 10 mins walk from Columbia University(I am a student there and will be away during summer vacation) a minimum of 5 days is required to move in, please mesg me before reserve.","Upper West Side"
"NYC","Furnished one bedroom with private bath and  fully equipped kitchen in Midtown. 3 blocks from Grand Central Station. Sleeps up to 4.All utilities, cable, wifi, local calls, complimentary weekly linen service, toiletries, in-room coffee and tea supplies and the use of our gym and business center included in price. Complimentary housekeeping service is provided. 24 Hour Reception and Concierge Desk. Doorman.Laundry room. Supermarket across street.","Murray Hill"
"NYC","You are looking for an apartment in the city with a beautiful view? We have the perfect property for you. Thoughtfully designed with bespoke finishes, modern furnishings, and a fully equipped kitchen, you’ll enjoy that “I’m home” feeling with this water view apartment. You’ll fall in love with everything this Murray Hill apartment has to offer. The location is very convenient if you are planning to stay in the city and wanted to live like a real New Yorker.","Kips Bay"
"NYC","Enjoy all that New York City has to offer from a beautifully restored walk-up in the historic Queens neighborhood of Ridgewood. With elegantly designed 3- and 4-bedroom apartments, a spacious common lounge and a newly renovated backyard, the Cornelia House is the perfect home base whether you’re in New York for a few months or plan to stay awhile.","Ridgewood"
"NYC","One lovely room in private house <br />Two Blocks from the<br />B and D train and 5 blocks from the 4 train. This <br />House is very clean and the area is quiet<br />most of the time <br /><br />Great for tourists. 10 minutes from Yankee stadium,<br />20 minutes from Manhattan and 2 blocks from<br />Bronx Care hospital And library across the street Great for a discrete budget stay with all necessities message me or send & inquiry to book","Claremont Village"
"NYC","Come experience a little bit of NYC, we are a family of 5 and would love to open our home to you,  we try our very best to give you the maximum amount of privacy as we are always on the run with the children sports activities.  Some days you will have more noise than others depending on our busy schedule so if you’re a light sleeper this may not be the place for you. We do try our very best to make it as peaceful as possible for our guest, host will share space and be present with guest.","East New York"
"NYC","Forget your worries in this spacious and quiet home.","Canarsie"
"NYC","I'm a student at CU and go back home for summer. The apartment has 4R/1 B, mine is the largerst among four with/size bed, air-conditioning. The no.1 subway station(110th) is around the corner. Sorry no supply for sheet sets and daily necessities.","Morningside Heights"
"NYC","Come stay in our one-of-a-kind carriage house in Prospect Heights. Set off the street past a walled garden in a former stable. 2BR 2Bath with an open floor plan kitchen/living room on the first floor, and two BR plus a small office on the second floor. <br /><br />You would never know this gem is there from the street. When you walk through the front building and pop out the double doors into the garden you'll feel like you're entering a safe haven in another world..","Prospect Heights"
"NYC","If interested in short rental please message me I am fully available and willing to work out a payment thru pay pal . The application process is creating a huge dent in all of the host wallets in New York and I’m sure for a lot of the future guest. <br /><br />Kick back and relax in this zen, stylish Manhattan space. Just a couple blocks from the Q and the 6 train. Enjoy the feeling and privacy of a cozy boutique design home away from home.","East Harlem"
"NYC","We are the community-oriented Coliving company that offers the easiest way to rent your room or bed, with the possibility to move in even within a few hours after booking. We offer the most affordable prices with great quality of service and it's the best value for money. We provide a place where like-minded people rent private or shared rooms and share common living spaces in houses and apartment buildings.","Bedford-Stuyvesant"
"NYC","Discover the best of New York, with this studio apartment in Yorkville. It’ll be easy to simply show up and start living in this stylishly furnished apartment with its fully equipped kitchen, cozy living room, and our dedicated, on-the-ground support. (ID #NYC1751)","Upper East Side"
"NYC","Discover the best of New York, with this one bedroom apartment in Nolita. It’ll be easy to simply show up and start living in this  furnished apartment with its fully equipped kitchen,  living room, and our dedicated, on-the-ground support. (ID #NYC1429)","Nolita"
"NYC","Located a short 1 minute walk from the B and C lines. Lots of restaurants/cafes nearby; Morningside Park is 2 blocks away and Central Park, 5 blocks. Very close to Columbia Uni. W/D and dishwasher in the apartment and a grocery store 2.5 blocks away!","Harlem"
"NYC","My place is walking distance to The Shops at Hudson Yards, The Vessel, Edge Observatory, The Shed, High Line Park, Jacob K. Javits Convention, Penn Station, Madison Square Garden, Port Authority, Times Square, Intrepid Sea & Space Museum,  Center & much more!. <br />You’ll love my place because of the views, the location, the people, the ambiance, and the outdoors space. My place is good for couples, solo adventurers and business travelers.","Hell's Kitchen"
"NYC","Welcome to our large studio blocks away from Central Park and the Metropolitan Museum of Art!","Upper East Side"
"NYC","Classy modern digs with an impressive local art collection and primo Midtown address blocks from Rockefeller Center, Times Square, Broadway shows, shopping and more. <br /><br />Your room charge will be paid prior to your arrival. The remaining balance of taxes (NY Sales Tax: 8.875%, NY City Tax: 5.875%, Occupancy Tax: Junior Suite $4.00 & Development Fee: $1.50) and facility fee ($44.75) will be charged upon arrival.","Midtown"
"NYC","This is a one bedroom, 1 bathroom apartment. Cute balcony with small potted garden and seating.  Close to Park Slope but very quiet area.  Access to coin washer and dryer in basement.  4 blocks to the subway and under 30 min into Manhattan.   The apartment is also close to many bars and restaurants.  It is also roughly a 20 min walk to Prospect Park.  It is on the second floor, so it is easily accessible.","Sunset Park"
"NYC","✨ Zen | Cozy | Smart Home Retreat<br />Experience a luxurious and peaceful stay in this modern smart home — perfect for small groups seeking comfort and convenience.<br /><br />We are located just off the highway.<br />You’ll be 20 minutes from Manhattan (NYC), 25 minutes from JFK airport & 10 minutes from LGA. <br /><br />Nestled in a quiet, middle-class neighborhood, the home offers a serene atmosphere with ample street parking.<br /><br />Note: We are currently only accepting 30-day stays, but shorter stays will be available soon.","Bayside"
"NYC","Located in a safe and lively Hell's Kitchen, Midtown West district. Surrounded by tons of restaurants and bars. Times Square, Central Park, Columbus Circle, Lincoln Center, MoMA, Rockefeller Center, Port Authority are all in walking distance. <br /><br />I'm out a lot and mostly I stay in the apartment in the evenings.<br />DM me for more details!","Hell's Kitchen"
"NYC","Sun soaked and breezy Brooklyn apartment near great transit (G Train for traveling in Brooklyn, and JMZ Trains to get to Manhattan. Twenty minutes to Manhattan. It is a one bedroom apartment with a full kitchen and bath and you have the entire place to yourself.<br />Great view because it is on the fifth floor!<br />It is close to some nice bars restaurants, grocery stores, and laundromat. It is also close to Herbert Von King Park, which hosts free outdoor movies during the summer.","Bedford-Stuyvesant"
"NYC","Woodbine House is situated near the border of Ridgewood, so you can easily explore your neighborhood or take a short walk into Bushwick! This neighborhood has local bars and restaurants on every street, from delicious Thai joints to authentic Latin restaurants. If you’re in search of a NYC neighborhood that feels more relaxed, the Woodbine  House is a perfect place for you to enjoy the city while living in a more residential area.","Ridgewood"
